id_subsistema,ear_data,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,verif_max_ratio
NE,2000-03-14,49967.0,29202.0,58.43999863,54.13970639753221
N,2000-03-14,12311.0,12288.0,99.80999756,54.13970639753221
SE/CO,2000-03-14,155759.0,79430.0,51.0,54.13970639753221
S,2000-03-14,13976.0,7832.0,56.04000092,54.13970639753221
NE,2000-03-15,49967.0,29489.0,59.02000046,54.13970639753221
N,2000-03-15,12311.0,12299.0,99.90000153,54.13970639753221
SE/CO,2000-03-15,155759.0,80001.0,51.36000061,54.13970639753221
S,2000-03-15,13976.0,7850.0,56.16999817,54.13970639753221
NE,2000-03-16,49967.0,29717.0,59.47000122,54.13970639753221
N,2000-03-16,12311.0,12348.0,100.30000305,54.13970639753221
SE/CO,2000-03-16,155759.0,80593.0,51.74000168,54.13970639753221
S,2000-03-16,13976.0,7830.0,56.02999878,54.13970639753221
NE,2000-03-17,49967.0,30016.0,60.06999969,54.13970639753221
N,2000-03-17,12311.0,12399.0,100.70999908,54.13970639753221
SE/CO,2000-03-17,155759.0,81487.0,52.31999969,54.13970639753221
S,2000-03-17,13976.0,7790.0,55.74000168,54.13970639753221
NE,2000-03-18,49967.0,30317.0,60.66999817,54.13970639753221
N,2000-03-18,12311.0,12423.0,100.91000366,54.13970639753221
SE/CO,2000-03-18,155759.0,82413.0,52.90999985,54.13970639753221
S,2000-03-18,13976.0,7773.0,55.61999893,54.13970639753221
NE,2000-03-19,49967.0,30503.0,61.04999924,54.13970639753221
N,2000-03-19,12311.0,12445.0,101.08999634,54.13970639753221
SE/CO,2000-03-19,155759.0,83735.0,53.75999832,54.13970639753221
S,2000-03-19,13976.0,7799.0,55.79999924,54.13970639753221
NE,2000-03-20,49967.0,30743.0,61.52999878,54.13970639753221
N,2000-03-20,12311.0,12455.0,101.16999817,54.13970639753221
SE/CO,2000-03-20,155759.0,85005.0,54.56999969,54.13970639753221
S,2000-03-20,13976.0,7762.0,55.54000092,54.13970639753221
NE,2000-03-21,49967.0,30831.0,61.70000076,54.13970639753221
N,2000-03-21,12311.0,12455.0,101.16999817,54.13970639753221
SE/CO,2000-03-21,155759.0,86014.0,55.22000122,54.13970639753221
S,2000-03-21,13976.0,7710.0,55.16999817,54.13970639753221
NE,2000-03-22,49967.0,31054.0,62.15000153,54.13970639753221
N,2000-03-22,12311.0,12467.0,101.26000214,54.13970639753221
SE/CO,2000-03-22,155759.0,86647.0,55.63000107,54.13970639753221
S,2000-03-22,13976.0,7663.0,54.83000183,54.13970639753221
NE,2000-03-23,49967.0,31170.0,62.38000107,54.13970639753221
N,2000-03-23,12311.0,12483.0,101.38999939,54.13970639753221
SE/CO,2000-03-23,155759.0,87212.0,55.99000168,54.13970639753221
S,2000-03-23,13976.0,7596.0,54.34999847,54.13970639753221
NE,2000-03-24,49967.0,31334.0,62.70999908,54.13970639753221
N,2000-03-24,12311.0,12503.0,101.55999756,54.13970639753221
SE/CO,2000-03-24,155759.0,87599.0,56.24000168,54.13970639753221
S,2000-03-24,13976.0,7554.0,54.04999924,54.13970639753221
NE,2000-03-25,49967.0,31659.0,63.36000061,54.13970639753221
N,2000-03-25,12311.0,12510.0,101.61000061,54.13970639753221
SE/CO,2000-03-25,155759.0,87973.0,56.47999954,54.13970639753221
S,2000-03-25,13976.0,7537.0,53.93000031,54.13970639753221
NE,2000-03-26,49967.0,32076.0,64.19000244,54.13970639753221
N,2000-03-26,12311.0,12512.0,101.62999725,54.13970639753221
SE/CO,2000-03-26,155759.0,88513.0,56.83000183,54.13970639753221
S,2000-03-26,13976.0,7550.0,54.02000046,54.13970639753221
NE,2000-03-27,49967.0,32152.0,64.34999847,54.13970639753221
N,2000-03-27,12311.0,12528.0,101.76000214,54.13970639753221
SE/CO,2000-03-27,155759.0,88891.0,57.06999969,54.13970639753221
S,2000-03-27,13976.0,7525.0,53.84000015,54.13970639753221
NE,2000-03-28,49967.0,32477.0,65.0,54.13970639753221
N,2000-03-28,12311.0,12544.0,101.88999939,54.13970639753221
SE/CO,2000-03-28,155759.0,89262.0,57.31000137,54.13970639753221
S,2000-03-28,13976.0,7516.0,53.77999878,54.13970639753221
NE,2000-03-29,49967.0,32664.0,65.37000275,54.13970639753221
N,2000-03-29,12311.0,12552.0,101.95999908,54.13970639753221
SE/CO,2000-03-29,155759.0,89727.0,57.61000061,54.13970639753221
S,2000-03-29,13976.0,7489.0,53.59000015,54.13970639753221
NE,2000-03-30,49967.0,32905.0,65.84999847,54.13970639753221
N,2000-03-30,12311.0,12550.0,101.94000244,54.13970639753221
SE/CO,2000-03-30,155759.0,90269.0,57.95000076,54.13970639753221
S,2000-03-30,13976.0,7452.0,53.31999969,54.13970639753221
NE,2000-03-31,49967.0,33047.0,66.13999939,54.13970639753221
N,2000-03-31,12311.0,12571.0,102.11000061,54.13970639753221
SE/CO,2000-03-31,155759.0,90662.0,58.20999908,54.13970639753221
S,2000-03-31,13976.0,7404.0,52.97999954,54.13970639753221
NE,2000-04-01,49967.0,33446.0,66.94000244,54.13970639753221
N,2000-04-01,12311.0,12590.0,102.26000214,54.13970639753221
SE/CO,2000-04-01,155759.0,91127.0,58.5,54.13970639753221
S,2000-04-01,13976.0,7387.0,52.86000061,54.13970639753221
NE,2000-04-02,49967.0,33842.0,67.73000336,54.13970639753221
N,2000-04-02,12311.0,12592.0,102.27999878,54.13970639753221
SE/CO,2000-04-02,155759.0,91606.0,58.81000137,54.13970639753221
S,2000-04-02,13976.0,7383.0,52.83000183,54.13970639753221
NE,2000-04-03,49967.0,34004.0,68.05000305,54.13970639753221
N,2000-04-03,12311.0,12580.0,102.18000031,54.13970639753221
SE/CO,2000-04-03,155759.0,91916.0,59.00999832,54.13970639753221
S,2000-04-03,13976.0,7327.0,52.43000031,54.13970639753221
NE,2000-04-04,49967.0,34079.0,68.19999695,54.13970639753221
N,2000-04-04,12311.0,12604.0,102.37999725,54.13970639753221
SE/CO,2000-04-04,155759.0,92153.0,59.15999985,54.13970639753221
S,2000-04-04,13976.0,7264.0,51.97999954,54.13970639753221
NE,2000-04-05,49967.0,34231.0,68.51000214,54.13970639753221
N,2000-04-05,12311.0,12589.0,102.26000214,54.13970639753221
SE/CO,2000-04-05,155759.0,92255.0,59.22999954,54.13970639753221
S,2000-04-05,13976.0,7207.0,51.56999969,54.13970639753221
NE,2000-04-06,49967.0,34363.0,68.76999664,54.13970639753221
N,2000-04-06,12311.0,12566.0,102.06999969,54.13970639753221
SE/CO,2000-04-06,155759.0,92374.0,59.31000137,54.13970639753221
S,2000-04-06,13976.0,7119.0,50.93999863,54.13970639753221
NE,2000-04-07,49967.0,34673.0,69.38999939,54.13970639753221
N,2000-04-07,12311.0,12545.0,101.90000153,54.13970639753221
SE/CO,2000-04-07,155759.0,92462.0,59.36000061,54.13970639753221
S,2000-04-07,13976.0,7037.0,50.34999847,54.13970639753221
NE,2000-04-08,49967.0,34741.0,69.52999878,54.13970639753221
N,2000-04-08,12311.0,12564.0,102.05000305,54.13970639753221
SE/CO,2000-04-08,155759.0,92561.0,59.43000031,54.13970639753221
S,2000-04-08,13976.0,6980.0,49.93999863,54.13970639753221
NE,2000-04-09,49967.0,34839.0,69.72000122,54.13970639753221
N,2000-04-09,12311.0,12618.0,102.48999786,54.13970639753221
SE/CO,2000-04-09,155759.0,92670.0,59.5,54.13970639753221
S,2000-04-09,13976.0,6918.0,49.5,54.13970639753221
