id_subsistema,ena_data,ena_bruta_regiao_mwmed,ena_armazenavel_regiao_mwmed,month,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_percentualmlt,max,min
SE/CO,2019-04-18,57846.68359375,53863.4453125,4,106.09024896453509,98.78502911977053,69691.0,18547.0
N,2019-04-19,27069.50195313,17165.76757813,4,99.56701119634594,63.139106718877656,34472.72265625,5722.0
NE,2019-04-19,5237.30810547,5237.30810547,4,45.92161204467501,45.92161204467501,25125.0,1828.0
S,2019-04-19,6510.47607422,6414.94287109,4,98.88359756367572,97.43260278163784,61485.0,751.44000244
SE/CO,2019-04-19,57299.5546875,52679.3203125,4,105.08681992982328,96.61335551204269,69691.0,18547.0
N,2019-04-20,26892.81054688,16981.19921875,4,98.91710506749094,62.46022759000788,34472.72265625,5722.0
NE,2019-04-20,5071.72216797,5046.38720703,4,44.46972626121556,44.24758499627098,25125.0,1828.0
S,2019-04-20,6019.08789063,5943.34179688,4,91.420206125058,90.26974551879691,61485.0,751.44000244
SE/CO,2019-04-20,56134.97265625,52774.16015625,4,102.95098793463721,96.78729085301843,69691.0,18547.0
N,2019-04-21,26445.25,16560.11914063,4,97.27088837464592,60.911411327140335,34472.72265625,5722.0
NE,2019-04-21,5042.98388672,5015.78710938,4,44.21774410247739,43.979278113323836,25125.0,1828.0
S,2019-04-21,5634.29101563,5544.08105469,4,85.57576419831017,84.20562085208881,61485.0,751.44000244
SE/CO,2019-04-21,54814.0390625,49912.1640625,4,100.52840871106878,91.53841815611814,69691.0,18547.0
N,2019-04-22,26032.1171875,16988.67382813,4,95.75130373511365,62.48772068970049,34472.72265625,5722.0
NE,2019-04-22,5112.63183594,5098.43603516,4,44.828429217689084,44.70395801168885,25125.0,1828.0
S,2019-04-22,5377.421875,5300.10009766,4,81.67433756851838,80.49994487799417,61485.0,751.44000244
SE/CO,2019-04-22,53337.2578125,49733.15625,4,97.8200064182261,91.21011958799117,69691.0,18547.0
N,2019-04-23,25647.63085938,17470.90039063,4,94.33708656174079,64.26144588164334,34472.72265625,5722.0
NE,2019-04-23,5119.99316406,5107.45703125,4,44.892974600021496,44.78305564626736,25125.0,1828.0
S,2019-04-23,5369.87597656,5261.21386719,4,81.55972758054038,79.90932595539496,61485.0,751.44000244
SE/CO,2019-04-23,51828.48828125,47677.28515625,4,95.05293793207849,87.4396722153004,69691.0,18547.0
N,2019-04-24,25447.11914063,16343.45898438,4,93.59956458662846,60.11449218764168,34472.72265625,5722.0
